Plant Name,CapacityFactor
Oconee,0.9745812807799957
Calvert Cliffs Nuclear Power Plant,0.9725289938444817
Dresden Generating Station,0.9663115844705537
Quad Cities Generating Station,0.9656035499156564
Monticello Nuclear Facility,0.9638629769581724
Brunswick Nuclear,0.9476854296455259
Harris,0.9475218447242681
Point Beach Nuclear Plant,0.9474686671925809
Cooper Nuclear Station,0.9471192694831805
Davis Besse,0.9450750600675356
James A Fitzpatrick,0.9428054125389126
R E Ginna Nuclear Power Plant,0.9424061602202518
H B Robinson,0.9394568547607779
Edwin I Hatch,0.9268898461812631
North Anna,0.9264306368059763
Beaver Valley,0.9244363986856413
Joseph M Farley,0.9205786663140652
Surry,0.9169067304891395
St Lucie,0.9126910764978002
Arkansas Nuclear One,0.9023077029131744
V C Summer,0.8779249242945766
Prairie Island,0.8724087222841223
River Bend,0.8368486300724002
Millstone,0.7657156334428168
Palisades,0.7237776401279846
Turkey Point,0.5438781488095445
